GLOVE_WINDOW,fights,total_KO,total_Sub,KD_sum,sig_strikes_sum,total_strikes_sum,tds_sum,sub_attempts_sum,ctrl_time_min_sum,KD_per_fight,sig_strikes_per_fight,total_strikes_per_fight,tds_per_fight,sub_attempts_per_fight,ctrl_time_min_per_fight,KO_rate,Sub_finish_rate
1,248,82,41,101,22692,31486,557,137,1100.1333333333334,0.40725806451612906,91.5,126.95967741935483,2.245967741935484,0.5524193548387096,4.4360215053763445,0.33064516129032256,0.16532258064516128
2,239,53,42,74,22641,32564,528,155,1130.0,0.30962343096234307,94.73221757322176,136.2510460251046,2.209205020920502,0.6485355648535565,4.7280334728033475,0.2217573221757322,0.17573221757322174
3,224,78,32,98,19779,27528,443,114,902.0833333333334,0.4375,88.29910714285714,122.89285714285714,1.9776785714285714,0.5089285714285714,4.027157738095238,0.3482142857142857,0.14285714285714285
