EVENT,BOUT,FIGHTER,KD,SIG.STR._L,SIG.STR._A,TOTAL STR._L,TOTAL STR._A,TD_L,TD_A,SUB.ATT,REV.,CTRL_sec,BOUT_N,FIGHTER_N,EVENT_N,RESULT,WEIGHTCLASS,METHOD,ROUND_END,TIME_END,TIME FORMAT,REFEREE,DETAILS,URL,GLOVE_WINDOW
UFC Fight Night: Emmett vs. Murphy,Cortavious Romious vs. ChangHo Lee,ChangHo Lee,0,44,74,116,179,2,4,1,3,338,Cortavious Romious vs. ChangHo Lee,ChangHo Lee,UFC Fight Night: Emmett vs. Murphy,W,Bantamweight Bout,KO/TKO ,2,3:48,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Mount ,http://ufcstats.com/fight-details/fc3825dd1b67e39d,3
UFC Fight Night: Emmett vs. Murphy,Cortavious Romious vs. ChangHo Lee,Cortavious Romious,0,11,24,14,27,2,3,0,1,128,Cortavious Romious vs. ChangHo Lee,Cortavious Romious,UFC Fight Night: Emmett vs. Murphy,L,Bantamweight Bout,KO/TKO ,2,3:48,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Mount ,http://ufcstats.com/fight-details/fc3825dd1b67e39d,3
UFC Fight Night: Emmett vs. Murphy,Brad Tavares vs. Gerald Meerschaert,Brad Tavares,0,47,109,56,118,0,0,0,0,1,Brad Tavares vs. Gerald Meerschaert,Brad Tavares,UFC Fight Night: Emmett vs. Murphy,W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/0c80eef2f4570543,3
UFC Fight Night: Emmett vs. Murphy,Brad Tavares vs. Gerald Meerschaert,Gerald Meerschaert,0,38,83,51,97,0,8,0,0,284,Brad Tavares vs. Gerald Meerschaert,Gerald Meerschaert,UFC Fight Night: Emmett vs. Murphy,L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/0c80eef2f4570543,3
UFC Fight Night: Emmett vs. Murphy,Ode Osbourne vs. Luis Gurule,Luis Gurule,0,12,34,26,49,1,4,0,0,137,Ode Osbourne vs. Luis Gurule,Luis Gurule,UFC Fight Night: Emmett vs. Murphy,L,Flyweight Bout,KO/TKO ,2,1:54,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/de9422207df2de64,3
UFC Fight Night: Emmett vs. Murphy,Ode Osbourne vs. Luis Gurule,Ode Osbourne,1,18,43,22,50,0,0,0,0,7,Ode Osbourne vs. Luis Gurule,Ode Osbourne,UFC Fight Night: Emmett vs. Murphy,W,Flyweight Bout,KO/TKO ,2,1:54,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/de9422207df2de64,3
UFC Fight Night: Emmett vs. Murphy,Torrez Finney vs. Robert Valentin,Robert Valentin,0,23,39,93,126,0,0,0,1,16,Torrez Finney vs. Robert Valentin,Robert Valentin,UFC Fight Night: Emmett vs. Murphy,L,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Tony Weeks 30 - 27.Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/d1368ca941c1fefc,3
UFC Fight Night: Emmett vs. Murphy,Torrez Finney vs. Robert Valentin,Torrez Finney,0,4,8,17,35,8,17,0,0,796,Torrez Finney vs. Robert Valentin,Torrez Finney,UFC Fight Night: Emmett vs. Murphy,W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Tony Weeks 30 - 27.Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/d1368ca941c1fefc,3
UFC Fight Night: Emmett vs. Murphy,Diana Belbita vs. Dione Barbosa,Diana Belbita,0,20,69,23,72,0,0,0,0,0,Diana Belbita vs. Dione Barbosa,Diana Belbita,UFC Fight Night: Emmett vs. Murphy,L,Women's Flyweight Bout,Submission ,1,4:13,3 Rnd (5-5-5),Keith Peterson,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/76641669c1607b7a,3
UFC Fight Night: Emmett vs. Murphy,Diana Belbita vs. Dione Barbosa,Dione Barbosa,0,27,50,35,58,1,1,1,0,58,Diana Belbita vs. Dione Barbosa,Dione Barbosa,UFC Fight Night: Emmett vs. Murphy,W,Women's Flyweight Bout,Submission ,1,4:13,3 Rnd (5-5-5),Keith Peterson,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/76641669c1607b7a,3
UFC Fight Night: Emmett vs. Murphy,Rhys McKee vs. Daniel Frunza,Daniel Frunza,0,43,117,50,124,0,0,0,0,0,Rhys McKee vs. Daniel Frunza,Daniel Frunza,UFC Fight Night: Emmett vs. Murphy,L,Welterweight Bout,TKO - Doctor's Stoppage ,1,5:00,3 Rnd (5-5-5),Jason Herzog,,http://ufcstats.com/fight-details/58811a4e36c53b89,3
UFC Fight Night: Emmett vs. Murphy,Rhys McKee vs. Daniel Frunza,Rhys McKee,3,43,111,59,133,0,0,0,0,70,Rhys McKee vs. Daniel Frunza,Rhys McKee,UFC Fight Night: Emmett vs. Murphy,W,Welterweight Bout,TKO - Doctor's Stoppage ,1,5:00,3 Rnd (5-5-5),Jason Herzog,,http://ufcstats.com/fight-details/58811a4e36c53b89,3
UFC Fight Night: Emmett vs. Murphy,Loma Lookboonmee vs. Istela Nunes,Istela Nunes,0,36,62,51,82,0,1,0,0,195,Loma Lookboonmee vs. Istela Nunes,Istela Nunes,UFC Fight Night: Emmett vs. Murphy,L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Sal D'amato 28 - 29.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/fd088ce1481315a5,3
UFC Fight Night: Emmett vs. Murphy,Loma Lookboonmee vs. Istela Nunes,Loma Lookboonmee,0,32,76,111,170,3,5,0,0,274,Loma Lookboonmee vs. Istela Nunes,Loma Lookboonmee,UFC Fight Night: Emmett vs. Murphy,W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30.Sal D'amato 28 - 29.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/fd088ce1481315a5,3
UFC Fight Night: Emmett vs. Murphy,Victor Henry vs. Pedro Falcao,Pedro Falcao,0,57,117,69,133,4,13,0,0,178,Victor Henry vs. Pedro Falcao,Pedro Falcao,UFC Fight Night: Emmett vs. Murphy,L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/4b1aec2395ebca14,3
UFC Fight Night: Emmett vs. Murphy,Victor Henry vs. Pedro Falcao,Victor Henry,1,73,151,139,227,2,3,0,3,250,Victor Henry vs. Pedro Falcao,Victor Henry,UFC Fight Night: Emmett vs. Murphy,W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/4b1aec2395ebca14,3
UFC Fight Night: Emmett vs. Murphy,Martin Buday vs. Uran Satybaldiev,Martin Buday,0,58,107,142,211,0,1,0,0,306,Martin Buday vs. Uran Satybaldiev,Martin Buday,UFC Fight Night: Emmett vs. Murphy,W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.David Lethaby 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/96cc199d78732d11,3
UFC Fight Night: Emmett vs. Murphy,Martin Buday vs. Uran Satybaldiev,Uran Satybaldiev,0,36,141,45,154,0,2,0,0,20,Martin Buday vs. Uran Satybaldiev,Uran Satybaldiev,UFC Fight Night: Emmett vs. Murphy,L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.David Lethaby 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/96cc199d78732d11,3
UFC Fight Night: Emmett vs. Murphy,Vanessa Demopoulos vs. Talita Alencar,Talita Alencar,0,45,75,107,150,4,5,1,0,758,Vanessa Demopoulos vs. Talita Alencar,Talita Alencar,UFC Fight Night: Emmett vs. Murphy,W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 26 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/cca4d763b1c6de0a,3
UFC Fight Night: Emmett vs. Murphy,Vanessa Demopoulos vs. Talita Alencar,Vanessa Demopoulos,0,10,34,34,63,0,0,0,0,2,Vanessa Demopoulos vs. Talita Alencar,Vanessa Demopoulos,UFC Fight Night: Emmett vs. Murphy,L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 26 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/cca4d763b1c6de0a,3
UFC Fight Night: Moreno vs. Erceg,Brandon Moreno vs. Steve Erceg,Brandon Moreno,0,89,176,95,182,1,5,0,0,85,Brandon Moreno vs. Steve Erceg,Brandon Moreno,UFC Fight Night: Moreno vs. Erceg,W,Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Sal D'amato 46 - 49.Chris Lee 46 - 49.,http://ufcstats.com/fight-details/33e301872e2b5680,3
UFC Fight Night: Moreno vs. Erceg,Brandon Moreno vs. Steve Erceg,Steve Erceg,0,116,279,119,282,0,0,0,0,0,Brandon Moreno vs. Steve Erceg,Steve Erceg,UFC Fight Night: Moreno vs. Erceg,L,Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 46 - 49.Sal D'amato 46 - 49.Chris Lee 46 - 49.,http://ufcstats.com/fight-details/33e301872e2b5680,3
UFC Fight Night: Moreno vs. Erceg,Manuel Torres vs. Drew Dober,Drew Dober,0,3,9,3,9,0,0,0,0,0,Manuel Torres vs. Drew Dober,Drew Dober,UFC Fight Night: Moreno vs. Erceg,L,Lightweight Bout,KO/TKO ,1,1:45,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground ,http://ufcstats.com/fight-details/8fc8d66ad0074ab0,3
UFC Fight Night: Moreno vs. Erceg,Manuel Torres vs. Drew Dober,Manuel Torres,1,23,25,23,25,0,0,0,0,10,Manuel Torres vs. Drew Dober,Manuel Torres,UFC Fight Night: Moreno vs. Erceg,W,Lightweight Bout,KO/TKO ,1,1:45,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground ,http://ufcstats.com/fight-details/8fc8d66ad0074ab0,3
UFC Fight Night: Moreno vs. Erceg,Edgar Chairez vs. CJ Vergara,CJ Vergara,0,6,13,6,13,0,0,0,0,0,Edgar Chairez vs. CJ Vergara,CJ Vergara,UFC Fight Night: Moreno vs. Erceg,L,Flyweight Bout,Submission ,1,2:30,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/ab4a91a59c01d6b6,3
UFC Fight Night: Moreno vs. Erceg,Edgar Chairez vs. CJ Vergara,Edgar Chairez,0,8,27,8,27,0,0,1,0,16,Edgar Chairez vs. CJ Vergara,Edgar Chairez,UFC Fight Night: Moreno vs. Erceg,W,Flyweight Bout,Submission ,1,2:30,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/ab4a91a59c01d6b6,3
UFC Fight Night: Moreno vs. Erceg,Raul Rosas Jr. vs. Vince Morales,Raul Rosas Jr.,0,20,39,26,46,4,8,0,0,578,Raul Rosas Jr. vs. Vince Morales,Raul Rosas Jr.,UFC Fight Night: Moreno vs. Erceg,W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/0f20c1d7c44fa5fe,3
UFC Fight Night: Moreno vs. Erceg,Raul Rosas Jr. vs. Vince Morales,Vince Morales,0,17,31,39,53,1,1,2,0,134,Raul Rosas Jr. vs. Vince Morales,Vince Morales,UFC Fight Night: Moreno vs. Erceg,L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eric Colon 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/0f20c1d7c44fa5fe,3
UFC Fight Night: Moreno vs. Erceg,David Martinez vs. Saimon Oliveira,David Martinez,1,27,41,28,42,0,1,0,0,42,David Martinez vs. Saimon Oliveira,David Martinez,UFC Fight Night: Moreno vs. Erceg,W,Bantamweight Bout,KO/TKO ,1,4:38,3 Rnd (5-5-5),Marc Goddard,Knee to Head In Clinch ,http://ufcstats.com/fight-details/55376d5c205fa844,3
UFC Fight Night: Moreno vs. Erceg,David Martinez vs. Saimon Oliveira,Saimon Oliveira,0,7,24,7,24,0,0,0,0,0,David Martinez vs. Saimon Oliveira,Saimon Oliveira,UFC Fight Night: Moreno vs. Erceg,L,Bantamweight Bout,KO/TKO ,1,4:38,3 Rnd (5-5-5),Marc Goddard,Knee to Head In Clinch ,http://ufcstats.com/fight-details/55376d5c205fa844,3
UFC Fight Night: Moreno vs. Erceg,Ronaldo Rodriguez vs. Kevin Borjas,Kevin Borjas,1,83,141,84,142,0,0,0,0,0,Ronaldo Rodriguez vs. Kevin Borjas,Kevin Borjas,UFC Fight Night: Moreno vs. Erceg,W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 27 - 30.Sal D'amato 27 - 30.Bladimir Puga 28 - 29.,http://ufcstats.com/fight-details/5ba7dd466e30169f,3
UFC Fight Night: Moreno vs. Erceg,Ronaldo Rodriguez vs. Kevin Borjas,Ronaldo Rodriguez,0,64,151,64,151,1,5,0,0,57,Ronaldo Rodriguez vs. Kevin Borjas,Ronaldo Rodriguez,UFC Fight Night: Moreno vs. Erceg,L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon 27 - 30.Sal D'amato 27 - 30.Bladimir Puga 28 - 29.,http://ufcstats.com/fight-details/5ba7dd466e30169f,3
UFC Fight Night: Moreno vs. Erceg,Jose Daniel Medina vs. Ateba Gautier,Ateba Gautier,1,28,50,28,50,0,0,0,0,0,Jose Daniel Medina vs. Ateba Gautier,Ateba Gautier,UFC Fight Night: Moreno vs. Erceg,W,Middleweight Bout,KO/TKO ,1,3:32,3 Rnd (5-5-5),Raul Porrata,Knee to Head In Clinch ,http://ufcstats.com/fight-details/64fe6e61a24dbf39,3
UFC Fight Night: Moreno vs. Erceg,Jose Daniel Medina vs. Ateba Gautier,Jose Daniel Medina,0,17,33,17,33,0,0,0,0,0,Jose Daniel Medina vs. Ateba Gautier,Jose Daniel Medina,UFC Fight Night: Moreno vs. Erceg,L,Middleweight Bout,KO/TKO ,1,3:32,3 Rnd (5-5-5),Raul Porrata,Knee to Head In Clinch ,http://ufcstats.com/fight-details/64fe6e61a24dbf39,3
UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez vs. Melquizael Costa,Christian Rodriguez,0,64,98,77,113,6,15,1,1,408,Christian Rodriguez vs. Melquizael Costa,Christian Rodriguez,UFC Fight Night: Moreno vs. Erceg,L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Miguel Jimenez 28 - 29.Chris Lee 28 - 29.Dave Tirelli 28 - 29.,http://ufcstats.com/fight-details/41cdbcc0f3635b8f,3
UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez vs. Melquizael Costa,Melquizael Costa,0,65,105,159,208,1,2,1,3,293,Christian Rodriguez vs. Melquizael Costa,Melquizael Costa,UFC Fight Night: Moreno vs. Erceg,W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Miguel Jimenez 28 - 29.Chris Lee 28 - 29.Dave Tirelli 28 - 29.,http://ufcstats.com/fight-details/41cdbcc0f3635b8f,3
UFC Fight Night: Moreno vs. Erceg,Loopy Godinez vs. Julia Polastri,Julia Polastri,0,87,151,117,186,0,0,0,0,19,Loopy Godinez vs. Julia Polastri,Julia Polastri,UFC Fight Night: Moreno vs. Erceg,L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Bladimir Puga 28 - 29.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/7efca050bc7be8ac,3
UFC Fight Night: Moreno vs. Erceg,Loopy Godinez vs. Julia Polastri,Loopy Godinez,0,84,150,114,184,5,11,0,0,450,Loopy Godinez vs. Julia Polastri,Loopy Godinez,UFC Fight Night: Moreno vs. Erceg,W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Bladimir Puga 28 - 29.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/7efca050bc7be8ac,3
UFC Fight Night: Moreno vs. Erceg,Rafa Garcia vs. Vinc Pichel,Rafa Garcia,0,64,120,76,136,2,6,0,0,135,Rafa Garcia vs. Vinc Pichel,Rafa Garcia,UFC Fight Night: Moreno vs. Erceg,W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Raul Porrata,Guilherme Bravo 27 - 30.Dave Tirelli 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/7e3fc760b26b6ae4,3
UFC Fight Night: Moreno vs. Erceg,Rafa Garcia vs. Vinc Pichel,Vinc Pichel,0,79,182,88,191,0,3,0,0,1,Rafa Garcia vs. Vinc Pichel,Vinc Pichel,UFC Fight Night: Moreno vs. Erceg,L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Raul Porrata,Guilherme Bravo 27 - 30.Dave Tirelli 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/7e3fc760b26b6ae4,3
UFC Fight Night: Moreno vs. Erceg,Jamall Emmers vs. Gabriel Miranda,Gabriel Miranda,0,18,35,20,37,2,4,1,0,85,Jamall Emmers vs. Gabriel Miranda,Gabriel Miranda,UFC Fight Night: Moreno vs. Erceg,L,Featherweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Fernando Salas Navarro,Punch to Head At Distance ,http://ufcstats.com/fight-details/e2e2537a345367d4,3
UFC Fight Night: Moreno vs. Erceg,Jamall Emmers vs. Gabriel Miranda,Jamall Emmers,2,33,54,35,56,0,0,0,1,49,Jamall Emmers vs. Gabriel Miranda,Jamall Emmers,UFC Fight Night: Moreno vs. Erceg,W,Featherweight Bout,KO/TKO ,1,4:06,3 Rnd (5-5-5),Fernando Salas Navarro,Punch to Head At Distance ,http://ufcstats.com/fight-details/e2e2537a345367d4,3
UFC Fight Night: Moreno vs. Erceg,MarQuel Mederos vs. Austin Hubbard,Austin Hubbard,0,26,65,62,121,2,9,1,0,454,MarQuel Mederos vs. Austin Hubbard,Austin Hubbard,UFC Fight Night: Moreno vs. Erceg,L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Mike Bell 28 - 29.Miguel Jimenez 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/9f66d450af690df5,3
UFC Fight Night: Moreno vs. Erceg,MarQuel Mederos vs. Austin Hubbard,MarQuel Mederos,0,44,68,57,81,0,1,0,1,93,MarQuel Mederos vs. Austin Hubbard,MarQuel Mederos,UFC Fight Night: Moreno vs. Erceg,W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Horacio Lopez Villanueva,Mike Bell 28 - 29.Miguel Jimenez 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/9f66d450af690df5,3
UFC Fight Night: Edwards vs. Brady,Leon Edwards vs. Sean Brady,Leon Edwards,0,23,35,23,35,0,1,0,0,15,Leon Edwards vs. Sean Brady,Leon Edwards,UFC Fight Night: Edwards vs. Brady,L,Welterweight Bout,Submission ,4,1:39,5 Rnd (5-5-5-5-5),Jason Herzog,Guillotine Choke From Mount ,http://ufcstats.com/fight-details/371ed8497799998e,3
UFC Fight Night: Edwards vs. Brady,Leon Edwards vs. Sean Brady,Sean Brady,0,57,93,221,295,5,7,1,0,670,Leon Edwards vs. Sean Brady,Sean Brady,UFC Fight Night: Edwards vs. Brady,W,Welterweight Bout,Submission ,4,1:39,5 Rnd (5-5-5-5-5),Jason Herzog,Guillotine Choke From Mount ,http://ufcstats.com/fight-details/371ed8497799998e,3
UFC Fight Night: Edwards vs. Brady,Jan Blachowicz vs. Carlos Ulberg,Carlos Ulberg,0,75,157,75,157,0,1,0,0,8,Jan Blachowicz vs. Carlos Ulberg,Carlos Ulberg,UFC Fight Night: Edwards vs. Brady,W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/6d9ea9f436ed354d,3
UFC Fight Night: Edwards vs. Brady,Jan Blachowicz vs. Carlos Ulberg,Jan Blachowicz,0,59,131,59,131,0,1,0,0,0,Jan Blachowicz vs. Carlos Ulberg,Jan Blachowicz,UFC Fight Night: Edwards vs. Brady,L,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/6d9ea9f436ed354d,3
UFC Fight Night: Edwards vs. Brady,Gunnar Nelson vs. Kevin Holland,Gunnar Nelson,0,15,24,30,44,3,10,1,0,569,Gunnar Nelson vs. Kevin Holland,Gunnar Nelson,UFC Fight Night: Edwards vs. Brady,L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Darryl Ransom 28 - 29.David Lethaby 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/96c6be6b22385967,3
UFC Fight Night: Edwards vs. Brady,Gunnar Nelson vs. Kevin Holland,Kevin Holland,1,55,89,138,178,0,1,0,0,64,Gunnar Nelson vs. Kevin Holland,Kevin Holland,UFC Fight Night: Edwards vs. Brady,W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Darryl Ransom 28 - 29.David Lethaby 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/96c6be6b22385967,3
UFC Fight Night: Edwards vs. Brady,Molly McCann vs. Alexia Thainara,Alexia Thainara,0,11,21,17,32,1,1,2,0,204,Molly McCann vs. Alexia Thainara,Alexia Thainara,UFC Fight Night: Edwards vs. Brady,W,Women's Strawweight Bout,Submission ,1,4:32,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke ,http://ufcstats.com/fight-details/b5b4b69bccb9ff4a,3
UFC Fight Night: Edwards vs. Brady,Molly McCann vs. Alexia Thainara,Molly McCann,0,9,21,14,28,0,0,0,0,0,Molly McCann vs. Alexia Thainara,Molly McCann,UFC Fight Night: Edwards vs. Brady,L,Women's Strawweight Bout,Submission ,1,4:32,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke ,http://ufcstats.com/fight-details/b5b4b69bccb9ff4a,3
UFC Fight Night: Edwards vs. Brady,Jordan Vucenic vs. Chris Duncan,Chris Duncan,1,15,40,24,50,4,5,1,0,337,Jordan Vucenic vs. Chris Duncan,Chris Duncan,UFC Fight Night: Edwards vs. Brady,W,Lightweight Bout,Submission ,2,3:42,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/8e6640c007ad603d,3
UFC Fight Night: Edwards vs. Brady,Jordan Vucenic vs. Chris Duncan,Jordan Vucenic,0,16,26,22,32,1,2,0,0,12,Jordan Vucenic vs. Chris Duncan,Jordan Vucenic,UFC Fight Night: Edwards vs. Brady,L,Lightweight Bout,Submission ,2,3:42,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/8e6640c007ad603d,3
UFC Fight Night: Edwards vs. Brady,Nathaniel Wood vs. Morgan Charriere,Morgan Charriere,0,42,94,69,125,1,3,0,1,204,Nathaniel Wood vs. Morgan Charriere,Morgan Charriere,UFC Fight Night: Edwards vs. Brady,L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Lee 27 - 30.Anders Ohlsson 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/9779eb1aae1d4654,3
UFC Fight Night: Edwards vs. Brady,Nathaniel Wood vs. Morgan Charriere,Nathaniel Wood,1,72,119,89,136,0,0,1,0,60,Nathaniel Wood vs. Morgan Charriere,Nathaniel Wood,UFC Fight Night: Edwards vs. Brady,W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Chris Lee 27 - 30.Anders Ohlsson 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/9779eb1aae1d4654,3
UFC Fight Night: Edwards vs. Brady,Jai Herbert vs. Chris Padilla,Chris Padilla,0,39,98,88,147,0,6,0,0,221,Jai Herbert vs. Chris Padilla,Chris Padilla,UFC Fight Night: Edwards vs. Brady,W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom 28 - 29.Anders Ohlsson 29 - 28.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/2a1071689c3af9df,3
UFC Fight Night: Edwards vs. Brady,Jai Herbert vs. Chris Padilla,Jai Herbert,0,38,122,59,143,0,1,0,0,1,Jai Herbert vs. Chris Padilla,Jai Herbert,UFC Fight Night: Edwards vs. Brady,L,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Darryl Ransom 28 - 29.Anders Ohlsson 29 - 28.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/2a1071689c3af9df,3
UFC Fight Night: Edwards vs. Brady,Lone'er Kavanagh vs. Felipe dos Santos,Felipe dos Santos,0,51,104,92,147,0,3,1,0,56,Lone'er Kavanagh vs. Felipe dos Santos,Felipe dos Santos,UFC Fight Night: Edwards vs. Brady,L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/e5a88f5c686173c4,3
UFC Fight Night: Edwards vs. Brady,Lone'er Kavanagh vs. Felipe dos Santos,Lone'er Kavanagh,0,58,97,71,112,4,6,0,0,393,Lone'er Kavanagh vs. Felipe dos Santos,Lone'er Kavanagh,UFC Fight Night: Edwards vs. Brady,W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/e5a88f5c686173c4,3
